#epochs loss_tr acc_tr loss_val acc_val
310 0.008903026539274845 0.006696086057380647 0.9965185185185185 0.9973333333333333
320 0.008631524744475158 0.007199854362783785 0.9966666666666667 0.9973333333333333
330 0.00840259984733959 0.006864470424438557 0.9967407407407407 0.9971666666666666
340 0.00804795737628141 0.00657740248087963 0.9969259259259259 0.9971666666666666
350 0.008329990188624367 0.008096371363682225 0.9967592592592592 0.997
360 0.008188067777304067 0.0063119116569243135 0.9969259259259259 0.9975
370 0.007675510091774157 0.007772293053952829 0.9970555555555556 0.9966666666666667
380 0.007598162948756924 0.0061725271955658835 0.9970925925925926 0.9978333333333333
390 0.007549554201963553 0.006525276454687838 0.9972407407407408 0.9973333333333333
400 0.00734946644654261 0.00590689798148372 0.9971296296296296 0.9978333333333333
410 0.007365532339840631 0.005756098280605682 0.9971296296296296 0.9981666666666666
420 0.006997064195484217 0.014117232885258195 0.9972962962962963 0.9941666666666666
430 0.007152266846662102 0.00539872473891162 0.9971851851851852 0.9976666666666667
440 0.007007014519819222 0.00572538854004906 0.9974814814814815 0.9978333333333333
450 0.007141067614278907 0.006343861538468483 0.9970925925925926 0.9973333333333333
460 0.006868490871140832 0.005656918037386925 0.9970185185185185 0.9983333333333333
470 0.00679382837360695 0.01302621340086137 0.9974259259259259 0.995
480 0.006877914426608565 0.0054427822365388 0.9973518518518518 0.9976666666666667
490 0.006182235695063871 0.006337100788476604 0.9975555555555555 0.9976666666666667
500 0.006429288578987802 0.006198796009059246 0.9975925925925926 0.9975
510 0.006421055993393892 0.007483427616766135 0.997537037037037 0.9975
520 0.006292992499118131 0.005495671396754489 0.997537037037037 0.9976666666666667
530 0.00598526498121053 0.005757140242020467 0.9976666666666667 0.9973333333333333
540 0.006285018682437621 0.005548638378567799 0.9976666666666667 0.9981666666666666
550 0.006030348990403834 0.005572301332131299 0.9976666666666667 0.998
560 0.005788720369036356 0.007087436957576906 0.9979074074074074 0.9976666666666667
570 0.005696788394524656 0.005570253414290048 0.9978703703703704 0.9976666666666667
580 0.006008033707251595 0.0061972418168347015 0.9976666666666667 0.9975
590 0.005864736777656192 0.005456698915428787 0.9977592592592592 0.9976666666666667
600 0.005676170583731814 0.005054016495186761 0.9978333333333333 0.998
610 0.005742279673478774 0.005333072305928785 0.9978333333333333 0.9978333333333333
620 0.006208600505897779 0.0060434814116958144 0.9976481481481482 0.998
630 0.0056191828351746425 0.0048502283638187085 0.9981481481481481 0.9983333333333333
640 0.005673357739545703 0.005491668302701781 0.9977037037037036 0.9978333333333333
650 0.005555467144713239 0.007711185322581654 0.9979444444444444 0.9976666666666667
660 0.005348760878401856 0.006190642580808079 0.9979629629629629 0.998
670 0.005412294586229067 0.011073296800656909 0.998 0.996
680 0.005511086994788438 0.005164737960085369 0.9977407407407407 0.9981666666666666
690 0.005233685874974435 0.005299954952568966 0.998 0.998
700 0.004978191256467547 0.006553145457465068 0.9981481481481481 0.9973333333333333
710 0.005194135022150818 0.004749113425910474 0.9980370370370371 0.998
720 0.005317609492366167 0.00617137634940398 0.9980555555555556 0.998
730 0.004996669754288281 0.005399166228467164 0.9982962962962963 0.9983333333333333
740 0.005097300778453141 0.00513346987470193 0.9982222222222222 0.9981666666666666
750 0.0051037663787620435 0.005183532194708084 0.9981666666666666 0.9981666666666666
760 0.004774847025977685 0.00727772766531298 0.9980555555555556 0.9973333333333333
770 0.004992423080724243 0.005177415605351095 0.9980185185185185 0.9983333333333333
780 0.004842966446422104 0.005791112060902206 0.9981296296296296 0.998
790 0.004966406212902648 0.005331570673206991 0.9981851851851852 0.9981666666666666
800 0.004728267051240322 0.005053250944452448 0.9981481481481481 0.998
810 0.004413467813222483 0.00505834540701933 0.9982962962962963 0.9985
820 0.004345344948019203 0.00496808678728248 0.9982592592592593 0.9981666666666666
830 0.004491523388276338 0.004780828252771074 0.9985185185185185 0.9981666666666666
840 0.004968209012617432 0.010458486196978476 0.9982962962962963 0.997
850 0.004590520635780746 0.00502443057581162 0.9981851851851852 0.9981666666666666
860 0.0044470586345456715 0.007283944197216508 0.9983333333333333 0.9975
870 0.004711760321266384 0.005260261602103871 0.9982777777777778 0.9985
880 0.004453945550847885 0.005858457852063801 0.9983518518518518 0.998
890 0.004455514380724432 0.00589732972618842 0.9984444444444445 0.998
900 0.0041897991376853416 0.0052731145179111885 0.998537037037037 0.9983333333333333
910 0.004441334284347158 0.005801342595083215 0.9982962962962963 0.998
920 0.004090720369851982 0.007654024957506608 0.9985925925925926 0.9978333333333333
930 0.004194267107603851 0.0056929915650756405 0.9984814814814815 0.9983333333333333
940 0.004509821360234223 0.006861022035423166 0.9984074074074074 0.998
950 0.003757567367422748 0.005076142189019609 0.9986851851851852 0.9985
960 0.004124688397134603 0.009637775866187083 0.9985 0.9971666666666666
970 0.004161963855819731 0.00650912450430726 0.9983703703703704 0.9976666666666667
980 0.003887676880797872 0.005366127740752766 0.9986111111111111 0.9986666666666667
